time,node,"idleness,t_imp"
106.9999999999982,14,1.4000000000000001,0.0
106.9999999999982,15,0.2,0.0
106.9999999999982,16,0.2,0.0
106.9999999999982,17,0.7,0.0
106.9999999999982,18,2.500000000000001,0.0
106.9999999999982,19,2.0000000000000004,0.0
106.9999999999982,20,0.0,3.4
106.9999999999982,21,0.0,0.0
106.9999999999982,22,1.2,0.0
106.9999999999982,23,1.8000000000000005,0.0
106.9999999999982,24,2.3000000000000007,1.6999999999999993
107.09999999999819,0,2.500000000000001,1.4999999999999991
107.09999999999819,1,3.0000000000000013,0.0
107.09999999999819,2,3.600000000000002,0.0
107.09999999999819,3,0.30000000000000004,0.0
107.09999999999819,4,0.30000000000000004,3.7
107.09999999999819,5,1.9000000000000006,0.0
107.09999999999819,6,1.3,0.0
107.09999999999819,7,0.7999999999999999,0.0
107.09999999999819,8,0.2,0.0
107.09999999999819,9,0.8999999999999999,0.0
107.09999999999819,10,2.500000000000001,0.0
107.09999999999819,11,1.9000000000000006,0.0
107.09999999999819,12,1.4000000000000001,0.0
107.09999999999819,13,0.2,0.0
107.09999999999819,14,1.5000000000000002,0.0
107.09999999999819,15,0.30000000000000004,0.0
107.09999999999819,16,0.30000000000000004,0.0
107.09999999999819,17,0.7999999999999999,0.0
107.09999999999819,18,2.600000000000001,0.0
107.09999999999819,19,2.1000000000000005,0.0
107.09999999999819,20,0.1,3.9
107.09999999999819,21,0.1,0.0
107.09999999999819,22,1.3,0.0
107.09999999999819,23,1.9000000000000006,0.0
107.09999999999819,24,2.400000000000001,1.5999999999999992
107.19999999999818,0,2.600000000000001,1.399999999999999
107.19999999999818,1,3.1000000000000014,0.0
107.19999999999818,2,3.700000000000002,0.0
107.19999999999818,3,0.4,0.0
107.19999999999818,4,0.4,3.6
107.19999999999818,5,2.0000000000000004,0.0
107.19999999999818,6,1.4000000000000001,0.0
107.19999999999818,7,0.8999999999999999,0.0
107.19999999999818,8,0.30000000000000004,0.0
107.19999999999818,9,0.9999999999999999,0.0
107.19999999999818,10,2.600000000000001,0.0
107.19999999999818,11,2.0000000000000004,0.0
107.19999999999818,12,1.5000000000000002,0.0
107.19999999999818,13,0.30000000000000004,0.0
107.19999999999818,14,1.6000000000000003,0.0
107.19999999999818,15,0.4,0.0
107.19999999999818,16,0.4,0.0
107.19999999999818,17,0.8999999999999999,0.0
107.19999999999818,18,2.700000000000001,0.0
107.19999999999818,19,2.2000000000000006,0.0
107.19999999999818,20,0.2,3.8
107.19999999999818,21,0.2,0.0
